JobTitle,company,location,salary,date_posted,ExtractDate,job_url,summary,review_url,overall_rating,num_ratings
Internship,Panasonic Manufacturing Malaysia Berhad,Shah Alam/Subang,undisclosed,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75928576?type=standout&ref=search-standalone&origin=cardTitle#sol=3e35c3e01f264967e90da1c335a1910694689b87,job descriptionworking closely supervisor complete assignment givensupport supervisor data analysis required departmentfollow request external internal customerstalk liaise various department collect compile datasummarize prepare report using m excelms power pointother task assign supervisor job requirementscandidate must posse least diploma advancedhighergraduate diploma bachelor degree post graduate diploma professional degree related business administration economics international business mechanical engineering electronic engineering equivalentrequired skill m excel m power point good communication skillapplicants must willing work seksyen seksyen shah alam,https://www.jobstreet.com.my/companies/panasonic-168559066436433/reviews?jobId=75928576,3.8,235.0
"Internship (IT, Accounts)",SEA ASIA PACIFIC SDN. BHD.,Simpang Ampat,RM 600 – RM 900 per month,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75928450?type=standout&ref=search-standalone&origin=cardTitle#sol=cb83a9ec6062b3958c655c594e0509b279227db9,information technology intern responsibilitiesprovide technical assistance staff customer hardware softwarerelated issuesinstall configure troubleshoot computer system hardware softwaremonitor system performance troubleshoot issuesfollow established procedure process computer maintenanceprovide training support team member use computer system softwareperform system backup maintain accurate recordsresearch recommend solution technical problemsaccounting intern responsibilitiesshadowing member accounting department perform dutiesassisting research filing data entry recording maintaining accurate complete financial recordshelp preparing financial report balance sheet income statement invoice documentsworking sql softwarelearning work part accounting team compile analyze data track information support company client,,,
Internship for IT Department (Computing/Software),Jabil Sdn Bhd (Global Business Center),Penang,"RM 1,000 – RM 1,200 per month",2d ago,19/5/2024,https://www.jobstreet.com.my/job/75925443?type=standout&ref=search-standalone&origin=cardTitle#sol=081e5eba5e69a38ed998b30b4fd487b5b0927230,final year student welcome apply positioncandidate must posse currently pursuing bachelor degree computer sciencecomputer engineeringsoftware engineeringdata science engineeringai etcplease indicate internship start end date duration week application,,,
Internship for Engineering Students,NORMA Products Malaysia Sdn Bhd,Ipoh,"RM 800 – RM 1,000 per month",3d ago,19/5/2024,https://www.jobstreet.com.my/job/75916015?type=standard&ref=search-standalone&origin=cardTitle#sol=6cd7b7918c491b2dc4921e1b00a04ea99184db0b,experiencethroughout internship norma expected apply theoretical knowledge actual world setting given opportunity prove challenging assignment internship norma gain invaluable work experience skill knowledge form solid foundation careerwe believe strongly continuous learning development intern provided onthejob training also mentoring coaching supervisor finally internship norma group show world leading engineered joining technology company like insidewhat look forcurrently pursuing bachelor degree engineering recognized institution higher learning good academic achievement cgpaselfmotivated good demonstrated leadership communication skillsstrong technical attribute eg attention detail highly organized good mathanalytical skill pea indicate internship duration time resumedo note shortlisted candidate contacted,https://www.jobstreet.com.my/companies/norma-products-malaysia-168551788795809/reviews?jobId=75916015,3.4,8.0
Internship (Web Developer),EasyParcel Sdn. Bhd.,Bayan Lepas,RM 750 – RM 800 per month,3d ago,19/5/2024,https://www.jobstreet.com.my/job/75906016?type=standout&ref=search-standalone&origin=cardTitle#sol=3c02434d87debcad232f137369d38514ff094b29,key responsibilitiescollaborating designer developersimprove inhouse code baseoptimize code high volume transactiontest debug applicationsresearch new technology better easier way solve problem requirementsable code interested codewilling explore learnlove solve problem codinglike brainstorm better solutionshas high level accountability result code producedhas ability learn adapt new technologiesknowledge gitjira added advantage,https://www.jobstreet.com.my/companies/easyparcel-168553705191024/reviews?jobId=75906016,4.4,27.0
Assistant Professor - Computer Science,USMC Sdn. Bhd.,Iskandar Puteri,undisclosed,3d ago,19/5/2024,https://www.jobstreet.com.my/job/75934366?type=standard&ref=search-standalone&origin=cardTitle#sol=1b723cb420613232530c8d8b19f4ea6bfb2e0bba,descriptionto undertake research line uosm research strategy teach supervise undergraduate postgraduate level undertake relevant leadership management engagement activity carry administrative task associated specified research funding example risk assessment research activity organisation project meeting documentation implementation procedure required ensure accurate timely formal reporting financial control develop carry area research line uosm research strategy companymission change world bettervision university southampton malaysia leading university education research industry engagement across asia current engineering excellence provide platform inspiring talented mind change world better,,,
Site IT Experience Intern,Roche Services & Solutions Operations APAC,Petaling,undisclosed,3d ago,19/5/2024,https://www.jobstreet.com.my/job/75901972?type=standard&ref=search-standalone&origin=cardTitle#sol=d69d244cd7b9df5e6572ba9105fc8e03201102be,roche foster diversity equity inclusion representing community serve dealing healthcare global scale diversity essential ingredient success believe inclusion key understanding people varied healthcare need together embrace individuality share passion exceptional care join roche every voice matter position assisting complete sop documentation team shadow learning site operation specialist new floor setup equipment new hire onboarding task assisting asset management includes stock count migration data new asset management tool asset management documentation assisting backup site operation specialist daily task handling user issue areat roche people across country pushing back frontier healthcare working together weve become one world leading researchfocused healthcare group success built innovation curiosity diversity roche service solution well people support solution organisation located kuala lumpur provide endtoend business solution finance procurement communication people culture human resource beyond roche colleague across apac region today roche employ altogether around employee malaysia roche equal opportunity employer,https://www.jobstreet.com.my/companies/roche-168553946317737/reviews?jobId=75901972,4.1,50.0
Internship (Intake May & onward),Celestica Electronics (M) Sdn Bhd,Senai,"RM 1,500 per month",3d ago,19/5/2024,https://www.jobstreet.com.my/job/75897447?type=standout&ref=search-standalone&origin=cardTitle#sol=d9c59bb256574d97ec7416b14e2afd6bc37db9c8,job descriptionwill given shortlisted candidate contacted knowledgeskillscompetenciesknowledge computer application word excel powerpoint multiple business applicationsbasic understanding customer needsgood analytical statistical skillsability handle multiple task maintaining attention detailrequirementsdegree diploma holder engineering human resource supply chain managementlogistic business administration operation management technology management related fieldminimum month internship durationwork location celestica senai seelong tampoikindly include latest cgpa internship start end date resume cover letter,https://www.jobstreet.com.my/companies/celestica-168551534294891/reviews?jobId=75897447,4.2,171.0
Internship for Various Department,SUZUKI MALAYSIA SDN. BHD.,Glenmarie,RM 400 per month,3d ago,19/5/2024,https://www.jobstreet.com.my/job/75893092?type=standard&ref=search-standalone&origin=cardTitle#sol=aa7b63a73709eb09e1adeb1d05ea02a60488ee3c,suzuki malaysia sdn bhd currently looking young dynamic energetic student internship placement department available logisticsfinance accountsplanningadmin workshopservicegeneral affair spare partmarketinghuman resourceproductiongovernment institution salessales training requirement currently pursuing study diplomadegree business admininternational businessecommercemarketing relatedcurrently pursuing study diplomadegree engineeringmechanical engineeringautomotiveproduction relevant coursesfast learner good attitude willingness learn perform extra milesgood communication skillsgood computer skillsable work glenmarie shah alamhave transportation work,https://www.jobstreet.com.my/companies/suzuki-malaysia-168557319489546/reviews?jobId=75893092,3.6,12.0
IT Service Assistant (Internship),TITANICOM TECH LIMITED,Kuala Lumpur,"RM 1,000 per month",3d ago,19/5/2024,https://www.jobstreet.com.my/job/75864145?type=standout&ref=search-standalone&origin=cardTitle#sol=94d9f293f45851db9dfc0e020ed4633b29b557f6,job description assist service manager updating daily relevant paperwork document daily report ticket summary excel timely manner support system engineer server maintenance team complete certain onsite errand server updownracking spare part handling information recording well assist completing service repair form repair job done complete necessary admin task good acception documentation printing required work warehouse time assisting spare part sorting spare part information recording date inbound outbound performing weekly spare part return spare part motherboard cpu memory etc support activity site data center request demand business batch replacement project etc job requirement fluent english mandarinspeaking willing learn equipment able understand basic hardware name part number diploma computer engineering preferred familiar industry data center environment preferable,,,
Internship for Manufacturing Engineering,Intel Technology Sdn. Bhd.,Penang,undisclosed,4d ago,19/5/2024,https://www.jobstreet.com.my/job/75902017?type=standard&ref=search-standalone&origin=cardTitle#sol=0045e079dc7b2496fa74831e8bdad9b143aae19e,job detailsjob description internship program cater best student ambition make world better place technology constantly challenge boundary possibleyou involved largescale data mining data visualization machine learning algorithm used make prediction classificationyou work diverse team engineer delivering technical solution manufacturing process challengesgather assemble verify data used variety purposessupport implement initiative continual engineering improvementsassist modification existing analysis creation new analysis perform duty project assigned managerqualificationspursuing bachelor degree computer science artificial intelligent machine learning related discipline proficient programming scripting language eg sql phyton data visualization tool eg power bi exceptional communication interpersonal skill necessary regularly communicates internal external stakeholder analytical skill resourcefulness ability work team necessary proactive dedicated innovative quick problemsolving abilitiesjob typestudent internshiftshift malaysiaprimary location malaysia penangadditional locationsbusiness groupas world largest chip manufacturer intel strives make every facet semiconductor manufacturing stateoftheart semiconductor process development manufacturing yield improvement packaging final test optimization world class supply chain facility support employee technology development manufacturing group part worldwide network design development manufacturing assemblytest facility focused utilizing power moore law bring smart connected device every person earthposting statementall qualified applicant receive consideration employment without regard race color religion religious creed sex national origin ancestry age physical mental disability medical condition genetic information military veteran status marital status pregnancy gender gender expression gender identity sexual orientation characteristic protected local law regulation ordinanceposition trustnawork model rolethis role require onsite presence,https://www.jobstreet.com.my/companies/intel-168557465784246/reviews?jobId=75902017,4.5,301.0
Technician Internship,T.A. FURNITURE & PROJECTS SDN. BHD.,Muar,"RM 700 – RM 1,000 per month",4d ago,19/5/2024,https://www.jobstreet.com.my/job/75848626?type=standard&ref=search-standalone&origin=cardTitle#sol=1cab8a3c2f65f3df9e5a9325d1fb02309c1bd75f,job description assist aligning maintaining repair company machinery asset facility prepare spare part routine machinery maintenance assist developing implementing preventive maintenance procedure assist maintaining inventory record equipment supply assist conducting maintenance electrical system,,,
Internship for Technical,FORTESYS SDN. BHD.,Puchong,RM 700 – RM 800 per month,4d ago,19/5/2024,https://www.jobstreet.com.my/job/75842532?type=standout&ref=search-standalone&origin=cardTitle#sol=abb7777e4512ed787eb8fcd70fd588c736203b16,job requirement candidate must posse currently pursuing bachelor degree professional degree computer science information technology equivalent preferably specialized computer network security equivalent applicant must willing work puchong nearby bandar puteri lrt station training coaching provided internship period exposed area assist system configuration testing implementation application support assist troubleshooting problem pertaining system implementation integration deployment site installation setting network server migration etc network equipment related equipment configuration task assign time time,,,
OSHE Intern,AirAsia,Kuala Lumpur City Centre,undisclosed,4d ago,19/5/2024,https://www.jobstreet.com.my/job/75844346?type=standard&ref=search-standalone&origin=cardTitle#sol=133089068827dab14ec14162cbe9573a9e9f6fed,job description responsibility creating safety poster oshe sm updating oshe hazard register sm hazard register participating oshe inspection ensure workplace compliance regulation involvement safety committee activity emergency response preparedness updating oshe management system needed organizing safety event like safety day safety bulletin quiz introducing new idea digitalizing safety process assisting preparing workplace accolade msosh award audit related oshe promoting safety health awareness among staff vendor offering fresh perspective idea improve oshesafety management system internship specific duration minimum month preferably month airasia berhad asia leading airline established dream making flying possible everyone since airasia swiftly broken travel norm around globe risen become world best driven dare dream spirit pride region largest lowcost carrier serving country destination confined wall except need answer call nature department mingle every day embrace new technology become digital airline service like big duty free big pay big loyalty touristly rokki xcite inflight entertainment exciting evolution placing u ahead game airasia set take lowcost flying new high belief everyone fly,https://www.jobstreet.com.my/companies/airasia-168552825774527/reviews?jobId=75844346,4.3,322.0
Internship in DBE (Deployment Business Excellence) 2024,Robert Bosch (M) Sdn Bhd,Bayan Lepas,undisclosed,4d ago,19/5/2024,https://www.jobstreet.com.my/job/75845027?type=standard&ref=search-standalone&origin=cardTitle#sol=18f323a2dfd978a1e464a2cb8582f793cfb42f71,company description bosch shape future inventing highquality technology service spark enthusiasm enrich people life promise associate rocksolid grow together enjoy work inspire join feel difference job description training assessment audit related activity designing poster preparing communication material translation service video recording editing update report power bi analyze support idea management report follow line leader submission support forum event workshop online face face adhoc administrative special project task assigned supervisor qualification degree communication business management pr etc additional information experience video editing translation poster designing presentation etc june onward,https://www.jobstreet.com.my/companies/bosch-168553438041990/reviews?jobId=75845027,4.2,200.0
Expression of Interest - Informatics Internship (Aug & Sept 2024 intake),Roche Services & Solutions Operations APAC,Bandar Sunway,undisclosed,4d ago,19/5/2024,https://www.jobstreet.com.my/job/75834603?type=standard&ref=search-standalone&origin=cardTitle#sol=acdd94d4e6256fcd3e68938b801e30f2f9593245,interested gaining professional experience insight global healthcare company study gap year possible within framework internship lasting month roche offer dedicated internship industrial placement different work area intern assume responsibility project learn play proactive role get firsthand insight activity process find like work colleague many different stakeholder youll access roches international network various option workplace offthejob training personal professional development looking forundergraduate student reputable university relevant field studyavailable minimum period month preferably month abovegood command spoken written english disclaimer open vacancy moment posting strictly pipelining purpose get touch soon available vacancy,https://www.jobstreet.com.my/companies/roche-168553946317737/reviews?jobId=75834603,4.1,50.0
Internship (various department),FERROTEC POWER SEMICONDUCTOR MALAYSIA SDN. BHD.,Pasir Gudang,"RM 1,000 – RM 1,500 per month",4d ago,19/5/2024,https://www.jobstreet.com.my/job/75829176?type=standout&ref=search-standalone&origin=cardTitle#sol=c8afe4470da4db24f6f974459cb132fe302f7fd7,ferrotec power semiconductor malaysia sdn bhd currently looking young dynamic energetic student internship placementdepartment availablehuman resourcesgeneral affairsprocess engineeringmaintenance facilitesehsproductionlogisticpurchasingqualityif student fastlearner willing go extra mile good command chinese english language apply internship u might chance part growing company graduate,,,
Internship (Engineering),UA Materials Sdn Bhd,Perai,RM 700 – RM 800 per month,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75826149?type=standard&ref=search-standalone&origin=cardTitle#sol=0e887cacb9f6f4d5cfefca8d08b908a6c83c0c30,role descriptioncreate adapt customize drawing packaging productscollect technical data product dimension material sample etccollaborate customer specification requirementsrequirements rolestudent mechanical manufacturing related coursesknowledge autocad solid work equivalent drawing softwarestructured efficient way working,,,
Software Engineer (Internship),Phi Software Sdn Bhd,Kota Kinabalu,undisclosed,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75831059?type=standard&ref=search-standalone&origin=cardTitle#sol=3fd0dcca3996d288ad809241e7118a2a8d565333,responsibilitiescollaborate engineering team software design development projectsassist coding testing debugging software applicationswork various phase software development lifecyclecontribute development innovative solution realworld challengesparticipate team meeting share insight ideasqualificationscurrently pursuing bachelor degree computer science related fieldstrong problemsolving analytical skillsbasic knowledge programming language eg python java c pluseagerness learn adapt take new challengesexcellent communication teamwork skillshave github account addvantagesadditional requirement applicant phi software sdn bhdminimum internship period monthsmust final semester studieswhat offervaluable handson experience realworld software development environmentmentorship experienced professionalsopportunity work meaningful projectshow applyif youre passionate student strong desire learn grow software engineer encourage applysummary role requirementslooking candidate available workmonday morning afternoon eveningtuesday morning afternoon eveningwednesday morning afternoon eveningthursday morning afternoon eveningfriday morning afternoon eveningno experience required roleworking right required role,,,
Full Stack (MERN) Developer Intern,Infusory Future Tech Labs,Kuala Lumpur City Centre,undisclosed,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75848775?type=standard&ref=search-standalone&origin=cardTitle#sol=c0f5ae621230d975f6219f5bb4855b117bc0491f,looking skilled mern stack developer intern join growing team ideal candidate proven experience developing highquality web application using mongodb expressjs react nodejs preference experience threejs reactthree fiber responsibility develop maintain web application using mern stackintegrate userfacing element using serverside logicbuild reusable code library future usedesign implement data storage solutionsensure technical feasibility uiux designscollaborate team member stakeholder requirement proven experience mern stack developer similar role strong proficiency javascript html cs extensive experience mongodb expressjs react nodejs experience reactthree fiber threejs familiarity frontend framework like bootstrap materialui solid understanding restful api design integration proficient knowledge code versioning tool git understanding database design management including sql nosql database excellent problemsolving communication skill ability thrive teamoriented environment benefit comprehensive training support help succeed role opportunity part dynamic team driving innovation education technology sector flexible work environment room growth career advancement opportunity professional development career advancement including training program workshop conference companysponsored social event teambuilding activity outing,,,
Internship- Various Department,MiCare Sdn Bhd,Bukit Jelutong,MYR 400 - 600,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75804335?type=standout&ref=search-standalone&origin=cardTitle#sol=99693a68033f5824148c2d3916651ff2a639af44,opening internship departmentsinformation technology ithuman resourcewellnessservice provider starting internship u opportunity work u able experience best job training development opportunity throughout internship period gain challenging yet rewarding industry experience u whats great way experience learn highly energetic team peer leader help develop skill competency growth,https://www.jobstreet.com.my/companies/micare-168549967747410/reviews?jobId=75804335,4.1,40.0
Internship for IT System Support,Yeahhost Sdn Bhd,Penang,undisclosed,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75805311?type=standard&ref=search-standalone&origin=cardTitle#sol=bbac32536f7f4eb959501dce74a40a568992126a,requirement responsibilitiesinternship degree computer sciencenetworking studentonly collegeuniversity final year student graduate end internshipgood familiarity modern server technology server o window server linux networking programmingstrong attention detail excellent analytical capabilitiesstrong communication skill able work well team environmentfast learning quick thinkingrequired language english bahasa malaysiagood written verbal communication skill englishinternship penang islandplease state internship start date duration description thank,https://www.jobstreet.com.my/companies/yeahhost-168556561436606/reviews?jobId=75805311,4.8,32.0
Ops Support Engineer (DevOps) - Intern,N2N,Bangsar South,undisclosed,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75809551?type=standard&ref=search-standalone&origin=cardTitle#sol=6a29157cfb399bad604d4978f7122891c7c27972,hiring resourceful internship ops support engineer devops join dynamic team nn connect bhd bangsar south kuala lumpur growing career ops support engineer devops intern awesome opportunity develop useful skill strong communication resourceful right drive job apply position ops support engineer devops intern nn connect bhd today job responsibilitieshelp automate provisioning configuration management infrastructure resource using tool like ansible chef puppet terraform assist setting maintaining cicd pipeline automate software delivery process including code testing building packaging deployment assist implementing monitoring solution track performance application grafana prometheus help manage cloud infrastructure service platform like aws job requirement currently pursuing bachelor degree information technologysoftware engineering equivalent good communication interpersonal skill must proactive take initiative willing take responsibility good english language proficiency summary role requirementsflexible hour availableno experience required roleworking right required roleexpected salary rm rm per month,https://www.jobstreet.com.my/companies/n2n-connect-168558478253068/reviews?jobId=75809551,3.0,21.0
Internship for Computer/IT Students,NEXIBLE SOLUTIONS SDN. BHD.,Kuala Lumpur,RM 500 – RM 700 per month,5d ago,19/5/2024,https://www.jobstreet.com.my/job/75803397?type=standout&ref=search-standalone&origin=cardTitle#sol=5bc818f0b60969c785fdec8a0e672a7c010b3eba,gain experience working saas platform project team support team software teamparticipate deployment system including user requirement scoping design testing implementationassist application feature testing web mobile app io androidto coordinatesupport system testing business key user compiledocument test resultsbuilding onboardingtraining material new enhancementsguide user boarding assist challengesplease indicate internship period short description,,,
