JobTitle,company,location,salary,date_posted,ExtractDate,job_url,summary,review_url,overall_rating,num_ratings
INTERNSHIP - DATA & TECH,Shopper360 Sdn Bhd,Petaling,undisclosed,1d ago,29/5/2024,https://www.jobstreet.com.my/job/76174729?type=standard&ref=search-standalone&origin=cardTitle#sol=b4f2af49bebe1165dda5bfea402bbcbc024496cb,"job requirements
- posses at least diploma or degree in any business
- required skills: ms office
- willing to work at phileo damansara 2
- detailed oriented
- excellent in malay and english",https://www.jobstreet.com.my/companies/shopper360-168559081430985/reviews?jobId=76174729,4.4,7
Internship - IT,Tiong Nam Logistics Solutions Sdn Bhd,Johor Bahru,MYR 700 - 900,1d ago,29/5/2024,https://www.jobstreet.com.my/job/76168075?type=standard&ref=search-standalone&origin=cardTitle#sol=41394ea68d1daa483b9ea3965baf48de3936702a,"job descriptions:support wms / tms web based in-house system.develop technical documentation and provide user training. job requirements:currently pursuing a diploma or degree in it.good communication skills, details, and independence.possess own vehicle and able to work over time (if required).speaking different languages or dialects will be a bonus.",https://www.jobstreet.com.my/companies/tiong-nam-logistics-168553680426079/reviews?jobId=76168075,3.9,65
Internship - Informatics (IT Infrastructure),Roche Services & Solutions Operations APAC,Petaling,undisclosed,1d ago,29/5/2024,https://www.jobstreet.com.my/job/76170195?type=standard&ref=search-standalone&origin=cardTitle#sol=b5bd2481ed966200f39f622632102462471e0240,"roche fosters diversity, equity and inclusion, representing the communities we serve. when dealing with healthcare on a global scale, diversity is an essential ingredient to success. we believe that inclusion is key to understanding people’s varied healthcare needs. together, we embrace individuality and share a passion for exceptional care. join roche, where every voice matters.
the positionwe are seeking for passionate student to join us as an it intern under the network management team. the it intern will work closely with our informatics organization in these connectivity areas: corporate lan, wan and wlan. this is an excellent opportunity for an individual who is interested in pursuing a career in it infrastructure, as they will gain hands-on experience in global professional environment. 
who we are looking for:

undergraduate students from reputable universities in the relevant fields of it, computer science or engineering.
passionate and energetic in information technology functions in the areas of informatics.
fast learner to practice in basic day-to-day work or projects.
good communication skills with high proficiency in english.
able to network with colleagues from other businesses, it functions and management on best work practices. 
additional experience automation, coding or extra it certification is a plus.

what the internship offers:

learning program for interns to understand the company and different technologies being applied in the sector.
hand on experience to projects related to the hiring department.
buddy system with a peer from the hiring department to teach and guide the new intern.
access to learning platforms (udemy & coursera) and other offerings to upskill in the desire skills.
engage in networking with colleagues from other business, it functions and senior management on best work practices. 
chance to form lasting relationships and improve communications and collaboration skills.
working from home certain days per week and great facilities with free coffee & food, games, events, etc.

who we areat roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. working together, we’ve become one of the world’s leading research-focused healthcare groups. our success is built on innovation, curiosity and diversity.
the roche services & solutions as well as people support solutions organisations located in kuala lumpur provide end-to-end business solutions for finance, procurement, it, communications, people & culture (human resources) and beyond to our roche colleagues across the apac region. today roche employs altogether around 1100 employees in malaysia. 
roche is an equal opportunity employer.",https://www.jobstreet.com.my/companies/roche-168553946317737/reviews?jobId=76170195,4.1,50
Internship,CLLB Sdn Bhd,Selangor,undisclosed,1d ago,29/5/2024,https://www.jobstreet.com.my/job/76163434?type=standard&ref=search-standalone&origin=cardTitle#sol=ce0adb49db9fb2e01891b9fc94017ea21812ab6c,"understands the overall concept of the company, including the brand, customer, product goals, and all other aspects of service.rotates through our divisions of responsibility and provides ideas to grow and improve the business.accepts designated, business-focus projects to research, propose ideas and solutions, and present final project during the internship.engages with customers or clients and provides service and/or sales.provide suggestions to management for improving customer service and internal processes.learns and becomes proficient on internal software systems.assists in creating performance reports.summary of role requirements:flexible hours availableno experience required for this roleworking rights required for this roleexpected start date for role: 15 june 2024expected salary: rm500 per month",,,
Tech Support Intern,Mobile Arts Sdn. Bhd.,Selangor,undisclosed,1d ago,29/5/2024,https://www.jobstreet.com.my/job/76157422?type=standout&ref=search-standalone&origin=cardTitle#sol=4e3683ab8201ce4bc5116f1183845c39e4e84a33,"company overviewunipin is a leading digital entertainment enabler that provides electronic pins for use in a wide array of games from various game publishers. with more than 21.4 million active users across 32 countries worldwide, unipin is supported by a comprehensive range of payment channels.your daily routine as our tech support intern:supporting partners on api implementation and communicate with partners through face-to-face conversation, phone, or email.coordinating with customer service officer and technical department (internally or externally) to resolve technical issues.understanding our products to support product enquiries from all department.rapidly establish a good working relationship with partners.supporting partners and internal departments professionally.testing and evaluating on new applicants or technology that could be used internally to enhance efficiency.testing a game or payment channel before deployment.supporting payment operation which includes: troubleshooting & investigation, monitoring of payment report, reporting, issue escalation & maintaining sla condition is met.communications within 3rd party partner and internal it operation team.qualificationsstudents that are able to commit anytime with at least 3 months of internship duration.diploma or degree in computer science or information systems or any related field.excellent communication and written skills, in both english and bahasa malaysia.proactive, eager to learn and highly motivated.",,,
Postgraduate Internship - R&D Software,Keysight Technologies Malaysia Sdn. Bhd.,Bayan Lepas,undisclosed,1d ago,29/5/2024,https://www.jobstreet.com.my/job/76153475?type=standout&ref=search-standalone&origin=cardTitle#sol=5b780f50d7cf396e5aa3a290242d49122de6455e,"job description:join our cutting-edge team and be the driving force behind the next technological revolution. embrace the challenge of creating groundbreaking innovations and industry-leading solutions that shape the future.unleash your passion for technology, innovation, and vision, and transform your aspirations into reality. we seek interns who have passion, a relentless drive for innovation, and have the vision to look to the future, and the inspiration to make that vision a reality. we have various exciting technical openings for ee and cs interns. depending on your areas of interest, you could explore fields such as analog design, digital design, circuit design, embedded system, firmware, product engineering, quality engineer, knowledge engineer, engineering project management in r&d, manufacturing, or materials engineering departments.as an intern, you will improve products, processes and components to meet agreed-upon objectives.may redesign products or components to meet cost objectives, component technology obsolescence and customer requirements.participates actively in new product introduction, including influencing the design of the product to ensure manufacturability and conformance with the global supply chain, enabling prototyping while in the r&d lab, testing the reliability of prototypes and managing the transition into production.supports and implements the transition of products and manufacturing processes from prototype to full production and through the entire life cycle of the product.partners with procurement and technical services to improve/sustain products and processes.may direct the work of third party vendors and/or partners to meet contract specified deliverables, performance or business objectives.may work with suppliers to ensure achievement of goals for cost, quality and delivery of parts and materials.may identify and manage erp data such as bill of material and routing. job requirement:master's degree/phd in electronic/electrical engineering, mechanical engineering, computer science, software engineering, information technology or any related fields.no work experience required.to secure the internship, here are some of the qualities to differentiate you from others: attention to detail, analytical mindset, good interpersonal skills, a growth mindset, and curiosity in problem-solving.",https://www.jobstreet.com.my/companies/keysight-technologies-168551179724998/reviews?jobId=76153475,4.6,889
"Internship, Sustainability",Top Glove Corporation Berhad,Shah Alam/Subang,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76133144?type=standard&ref=search-standalone&origin=cardTitle#sol=14659db7591481470e5dd5f5b6f008550ab4bb6f,"job responsibilities
01) to update and enhance the sustainability website. 
02) to make arrangement for various meeting and payments. 
03) to prepare, compile and update meeting presentation slides. 
04) liaise with pic from other departments for data collection. 
05) assist in the preparation of meeting minutes and proposal. 
06) any other duties and responsibilities as required by management.
job requirements
01) degree/ diploma in related courses or equivalents from reputable universities. 
02) good command of english & malay (spoken and written). 
03) results oriented, strong follow up and good negotiation skills. 
04) pleasant personality and able to interact all level of people.",https://www.jobstreet.com.my/companies/top-glove-168556710434867/reviews?jobId=76133144,3.8,391
MoHE � Intel MDC Elite Internship,Intel Technology Sdn. Bhd.,Kulim,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76134633?type=standard&ref=search-standalone&origin=cardTitle#sol=df201d4283e701704c78c98eb5fbac7b588f4cf1,"job details:job description: job description

step into the future with intel's elite internship program in collaboration with the ministry of higher education malaysia. be part of change, innovation, and the extraordinary.
this provides the successful candidate with

specialized synopsys training with viva (5 weeks)
in-depth intel training on pre & post silicon
hands-on experience with cutting-edge technologies
collaboration with intel's global teams


qualifications:open to year 3 students with bachelor or master degree in electrical engineering, electronic engineering, electrical and electronic engineering, microelectronic engineering, mechatronic engineering, computer engineering or computer science.
additional qualifications include

knowledge of computer system architecture
understanding of a subsystem hwsw stack including the silicon all onboard hw components and connectors external or plugin adapters and devices drivers and applications
experience with c and/or c programming
highly motivated curious and a team player with keen interest in finding and resolving silicon failures

job type:student / internshift:shift 1 (malaysia)primary location: malaysia, kulimadditional locations:business group:in the design engineering group (deg), we take pride in developing the best-in-class socs, cores, and ips that power intel’s products. from development, to integration, validation, and manufacturing readiness, our mission is to deliver leadership products through the pursuit of moore’s law and groundbreaking innovations.  deg is intel’s engineering group, supplying silicon to business units as well as other engineering teams.  as a critical provider of all intel products, deg leadership has a responsibility to ensure the delivery of these products in a cost efficient and effective manner.posting statement:all qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.position of trustn/awork model for this rolethis role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned intel site and off-site. in certain circumstances the work model may change to accommodate business needs.",https://www.jobstreet.com.my/companies/intel-168557465784246/reviews?jobId=76134633,4.5,301
Assistant / Associate Professor - Computer Science,University of Southampton Malaysia,Johor Bahru,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76122679?type=standout&ref=search-standalone&origin=cardTitle#sol=d4d03a9930b77c87135f4d5f3490e58728225248,"as the only university of southampton (uos) campus located outside of the uk, the university of southampton malaysia (uosm) has come a long way since its inception in 2012 with a mission to be a leading institution for research, teaching, and innovation across asia and the wider global community. currently, among all the british universities with a campus in malaysia, uosm is the only institution that is a part of the world’s top 100 universities.located in the city of iskandar puteri, uosm boasts a new state-of-the-art campus that provides students and staff with access to cutting-edge facilities including four electrical and electronics laboratories, an aerospace laboratory equipped with a wind tunnel, a design studio, a business experimental laboratory, a 12-terminal bloomberg suite, a 10,000 sq ft library with an attached computer suite, a music room, a recreational room, and other creative open spaces. the campus is located in a safe environment, which provides peace of mind for both students and staff.uosm offers programmes at foundation level up to postgraduate level. its foundation programmes across business, computer science and engineering provide a seamless transition to a selection of research-led programmes in accounting, actuarial science, analytics, business, computer science, economics, engineering, entrepreneurship, finance, and marketing. uosm's academics are actively involved in ground-breaking research, allowing them to bring insights from their research into their teaching.as part of its expansion plan, school of computer science, uosm is seeking applications from exceptional candidates for two (2) full time faculty position in 1) cloud application development and 2)distributed networks and advanced networks. responsibilities include teaching and education activities, development of courses and laboratories, advising undergraduate students, supervising students in their projects, participation in committee works, and engaging in research, scholarly work, and professional service activities.we offer a highly competitive package that comes with unparalleled learning and development opportunities.join us at university of southampton malaysia, iskandar puteri, johor bahru to make a profound career progression. specific criteria:cloud application developmentphd degree from a reputable university in computer science or a closely related field with a concentrated coursework in cloud computing.a previous teaching experience with the ability to teach cloud application development course along with other courses in the broad area of computer science.strong familiarity with the basics of cloud architecturehands on experience in cloud computing systems like amazon, azure, or google cloud.understanding of scripting languages like javascript and python,ms azure functions, functions creationazure web appusing vs codejavascript: dom, ajax, jsonpythondatabase, azure sqlcosmos dbweb scripting- client side and server sidea strong research portfolio with a preference to applied research in collaboration with the industry.excellent communication skills. distributed networks and advanced networksphd degree from an accredited institution in computer science or a closely related field with a concentrated coursework in computer networks.a previous teaching experience with the ability to teach distributed networks and advanced networks courses along with other courses in the broader area of computer science.strong familiarity with the basics of computer networks and distributed systemsknowledge of mobile and dynamically changing networks.understanding of web services, both classic and restfulunderstanding of distributed objects, including use through java rmipractical understanding of client-server solutions in javaweb scripting- client side and server sidepractical understanding of designing and operating data networkspractical understanding of building distributed objects solution in java.professional understanding of network tools like wireshark, ns3, matlab etc.a strong research portfolio with a preference to applied research in collaboration with the industry.excellent communication skills. application submission:1) if you meet the above criteria, uosm welcomes your application. the application must include the following documents (all in one single pdf).2) cover letter – please address how you meet the job responsibilities and requirements.3) an up-to-date cv.· application without the required documents (cover letter and cv (all in one single pdf) may not be considered.· applications should be submitted via the jobstreet.· applications must be submitted by 7 june 2024. if you are not contacted by the selection committee by 14 june 2024, then please assume that on this occasion your application has been unsuccessful.· the university is committed to equality of opportunity.",https://www.jobstreet.com.my/companies/university-of-southampton-malaysia-168553317161863/reviews?jobId=76122679,4.2,9
"Internship (IT, HR, Engineering, Marketing, Graphic Designer, etc)",IDS Medical Systems Group,Glenmarie,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76121788?type=standout&ref=search-standalone&origin=cardTitle#sol=a0683c17258f84e1b66680069846bd89af1fdafd,"job responsibilities:assist the department of where the intern is attached to on task set out by the team.performing administrative task/dutiesworking closely with the department team members to complete any given task or assignmentsworking on any applicable projectunderstanding the overall concept of the company, including the brand, customer, and all other aspects of servicelearning the technical and business knowledge related to the industryany ad-hoc task as and when requiredjob requirementsstudents / final year students of at least diploma/advanced/higher/graduate diploma, bachelor's degree//professional degree in any field.computer literate - microsoft office applications (excel, words/ppt).applicants must be willing to work in glenmarie, shah alam.strong communication and interpersonal skills.detail-oriented and organized.a proactive and self-motivated individual with a strong desire to learn.",,,
IT Internship Programme,Rev Asia Holdings Sdn Bhd,Petaling,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76127542?type=standard&ref=search-standalone&origin=cardTitle#sol=1fbb656637231994ad1fc529a88a1703a1acda50,"responsibilities:

collaborate with the it team to support the development, maintenance, and troubleshooting of digital platforms.
assist in the implementation of it solutions, including software installations and updates.
contribute to the identification and resolution of technical issues, ensuring system efficiency.
stay informed about current market trends in it and contribute insights to improve our technological infrastructure.
work on it projects under the guidance of senior team members, gaining practical experience in various areas of it.
provide technical support to internal users, addressing it-related inquiries and issues.
assist in documenting it processes and procedures.

skills and requirements:

malaysian citizenship.
currently pursuing or a degree/diploma in it, computer science, or a related field.
knowledgeable in it fundamentals and current market trends.
strong problem-solving skills and the ability to learn quickly in a fast-paced environment.
good communication and interpersonal skills.
familiarity with software installation, troubleshooting, and basic it support.
eagerness to contribute ideas and a proactive approach to learning.
ability to work independently and collaboratively as part of a team.

what we offer

work with a young and vibrant team in a fast-paced startup environment, embracing new and exciting challenges daily.
stay ahead of the curve by upskilling your knowledge and adapting to the latest technologies in the field.
experience upgrading career development within the company, unlocking new and exciting opportunities.
benefit from flexible working arrangements, including a hybrid mode setup.
engage in monthly team events/activities that foster camaraderie and create lasting memories.
join a team that values work-life balance and supports you in finding the perfect equilibrium.

if you are interested in pursuing this opportunity, kindly send us your updated resume along with your university internship letter  to najlaa.asyiqa@revmedia.my.",,,
Digital Marketing Internship,MCSB Group,Kuala Lumpur,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76116564?type=standard&ref=search-standalone&origin=cardTitle#sol=0a08e75128cc01b69874f8865915d28d241ce435,"scopedriving daily social media and tele-marketing activities.participate in market or strategy planning sessions by providing creative ideas and insights to boosts company’s revenue.perform market analysis and research on competition and latest industry trends.update/ housekeep client database.plan and create weekly marketing contents for advertising promotional activities on fb, ig, linkedin, etc.monitoring performance, analyzing data and reporting on campaigns effectiveness.explore seo activities/ viability as part of marketing activities.exploring automation eg. crm softwares for sales and ops.revamp project proposal template.requirementsminimum degree in it/ marketing or any equivalent field.required skill(s) : c++,c#,ms-sql server,asp.net, visual basic, crystal report, .net mvc, adobe,preferred skill(s) : computer software, video, marketing in social media,job type: internshipcontract length: 4 monthspay: rm800.00 per monthschedule:monday to fridayeducation:diploma/advanced diploma (preferred)language:english, malay (preferred)summary of role requirements:looking for candidates available to work:monday: morningtuesday: morningwednesday: morningthursday: morningfriday: morningno experience required for this roleworking rights required for this roleexpected salary: rm800 per month",https://www.jobstreet.com.my/companies/mcsb-systems-168551423433339/reviews?jobId=76116564,3.7,14
Intern - Manufacturing Operations Training (IT/Computer Science Students),Lumileds Malaysia Sdn Bhd,Bayan Lepas,undisclosed,4d ago,29/5/2024,https://www.jobstreet.com.my/job/76111061?type=standout&ref=search-standalone&origin=cardTitle#sol=cd6b8d5e640c5b30c8621bcb8b22604df0502d4b,"who we are:lumileds is the leading global light engine company serving customers in automotive lighting, general illumination, and consumer market segments. lumileds operates in over 30 countries and has approximately 7,000 employees, lumileds is shaping the future of light with the most innovative technology in the illumination and automotive sectors, and helping our customers deliver differentiated solutions to the world. lumileds is headquartered in san jose, california, with operations in singapore, malaysia and the netherlands and sales offices throughout the world.together with its customers, lumileds is making the world better, safer, more beautiful—with light.the lumileds environment is fast-paced, cutting-edge, intelligent and fun! we are looking for exceptional talent to join our team! to learn more, visit lumileds.com  position summary:to support training department daily activity. what you will do:to support trainers in daily training activities.prepare training material. (capture video of the process and edit for training usage)identify and automate all the manual training process.complies with environment, security, health and safety requirements. what you will bring (required qualifications):basic microsoft office tool such as microsoft word, microsoft excel, power point, microsoft access & etc.able to work independently.able to interact with people at all levels.able to work as a team. education (minimum level)diploma or bachelor’s field of studyit / software engineering or computer science  lumileds is an equal employment opportunity employer",https://www.jobstreet.com.my/companies/lumileds-168551738434110/reviews?jobId=76111061,4,98
